project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
TCGA-BRCA	17f275c1-a0d4-487d-8f02-ea279584b4cd	TCGA-D8-A13Y	ed5c190c-a2c4-439f-be86-3a9e6a24ccb8	TCGA-D8-A13Y-10A	6e078efe-e584-42b8-81cb-9524599d09e8	TCGA-D8-A13Y-10A-01	67a48d5c-4799-4761-acdd-4e3e21d751fb	TCGA-D8-A13Y-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	17f275c1-a0d4-487d-8f02-ea279584b4cd	TCGA-D8-A13Y	ed5c190c-a2c4-439f-be86-3a9e6a24ccb8	TCGA-D8-A13Y-10A	6e078efe-e584-42b8-81cb-9524599d09e8	TCGA-D8-A13Y-10A-01	a802391d-fd8c-4f14-8a65-8b7268945104	TCGA-D8-A13Y-10A-01D	1.95	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	5c8983f2-9788-4dfa-971c-3ec457b6166e	TCGA-A2-A0CL	73cb9fe3-e820-42ef-af60-acbf07ed9f1d	TCGA-A2-A0CL-01A	1669b528-23d5-4d66-a5ae-c2c9b6d25f14	TCGA-A2-A0CL-01A-11	19dd5ad3-bcdb-416a-80c7-e9822e1c65b7	TCGA-A2-A0CL-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	5c8983f2-9788-4dfa-971c-3ec457b6166e	TCGA-A2-A0CL	73cb9fe3-e820-42ef-af60-acbf07ed9f1d	TCGA-A2-A0CL-01A	1669b528-23d5-4d66-a5ae-c2c9b6d25f14	TCGA-A2-A0CL-01A-11	7bbfcb49-9716-4083-9f58-4aec65ab2b8b	TCGA-A2-A0CL-01A-11R	1.8	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.8	9.3	UV Spec	released	'--
TCGA-BRCA	5c8983f2-9788-4dfa-971c-3ec457b6166e	TCGA-A2-A0CL	73cb9fe3-e820-42ef-af60-acbf07ed9f1d	TCGA-A2-A0CL-01A	1669b528-23d5-4d66-a5ae-c2c9b6d25f14	TCGA-A2-A0CL-01A-11	e5d0499b-50b0-410a-b9a6-c35ea42a6ac2	TCGA-A2-A0CL-01A-11D	1.82	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	5c8983f2-9788-4dfa-971c-3ec457b6166e	TCGA-A2-A0CL	a869bd45-4170-48b7-b5fa-9d67525e1d90	TCGA-A2-A0CL-10A	3c4b222e-0fe8-44c2-9f2f-87ddb9fffb6d	TCGA-A2-A0CL-10A-01	3292b6ad-790c-4d09-9df8-f242392ec8a1	TCGA-A2-A0CL-10A-01D	1.85	'--	'--	DNA	D	'--	0.15	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	5c8983f2-9788-4dfa-971c-3ec457b6166e	TCGA-A2-A0CL	a869bd45-4170-48b7-b5fa-9d67525e1d90	TCGA-A2-A0CL-10A	3c4b222e-0fe8-44c2-9f2f-87ddb9fffb6d	TCGA-A2-A0CL-10A-01	c3f497de-8d55-41fe-8237-5360f70a355a	TCGA-A2-A0CL-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	a06ff6ae-b0dd-4516-a75c-0db71694b46b	TCGA-LD-A7W5	67162c14-4e17-4511-b4c9-4fb1cc057cec	TCGA-LD-A7W5-10A	1efc58d5-b82f-41da-baf9-c519b9e26645	TCGA-LD-A7W5-10A-01	0173ec6e-1587-4b36-b8b0-209a7ae2b341	TCGA-LD-A7W5-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	a06ff6ae-b0dd-4516-a75c-0db71694b46b	TCGA-LD-A7W5	67162c14-4e17-4511-b4c9-4fb1cc057cec	TCGA-LD-A7W5-10A	1efc58d5-b82f-41da-baf9-c519b9e26645	TCGA-LD-A7W5-10A-01	3c299285-2a0e-4f5a-be78-7186ddb4ad0a	TCGA-LD-A7W5-10A-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-BRCA	a06ff6ae-b0dd-4516-a75c-0db71694b46b	TCGA-LD-A7W5	bfc636bb-4e93-4e8b-bcc3-c98cf820e6e7	TCGA-LD-A7W5-01A	f6e1ff59-414e-408c-b5bd-f7d88a29aa65	TCGA-LD-A7W5-01A-22	635e7dfe-58d6-4047-8224-604b2fac56a5	TCGA-LD-A7W5-01A-22R	1.85	'--	'--	RNA	R	'--	0.18	mirVana (Allprep DNA) RNA	Yes	1.59	8.5	UV Spec	released	'--
TCGA-BRCA	a06ff6ae-b0dd-4516-a75c-0db71694b46b	TCGA-LD-A7W5	bfc636bb-4e93-4e8b-bcc3-c98cf820e6e7	TCGA-LD-A7W5-01A	f6e1ff59-414e-408c-b5bd-f7d88a29aa65	TCGA-LD-A7W5-01A-22	8da1a974-699f-4548-aa8f-2935a4ef2873	TCGA-LD-A7W5-01A-22W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	a06ff6ae-b0dd-4516-a75c-0db71694b46b	TCGA-LD-A7W5	bfc636bb-4e93-4e8b-bcc3-c98cf820e6e7	TCGA-LD-A7W5-01A	f6e1ff59-414e-408c-b5bd-f7d88a29aa65	TCGA-LD-A7W5-01A-22	e5bd6e85-e012-4bd6-a144-4ab2743ec98d	TCGA-LD-A7W5-01A-22D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-BRCA	546248b0-22a0-4b70-a437-76fb0a238a0d	TCGA-AN-A0FJ	74e683be-a4a2-43cf-94c8-6a559c9431be	TCGA-AN-A0FJ-10A	676f2aca-ea3f-4fe8-8f76-54aec3daa43e	TCGA-AN-A0FJ-10A-01	56e6aaa5-d59d-4053-aa0d-3565700fe0ad	TCGA-AN-A0FJ-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	'--	Yes	'--	'--	'--	released	'--
TCGA-BRCA	546248b0-22a0-4b70-a437-76fb0a238a0d	TCGA-AN-A0FJ	74e683be-a4a2-43cf-94c8-6a559c9431be	TCGA-AN-A0FJ-10A	676f2aca-ea3f-4fe8-8f76-54aec3daa43e	TCGA-AN-A0FJ-10A-01	57cd97ba-dde5-4ef8-9cd2-936dbee71d19	TCGA-AN-A0FJ-10A-01X	'--	'--	'--	Repli-G X (Qiagen) DNA	X	'--	'--	'--	Yes	'--	'--	'--	released	'--
TCGA-BRCA	546248b0-22a0-4b70-a437-76fb0a238a0d	TCGA-AN-A0FJ	74e683be-a4a2-43cf-94c8-6a559c9431be	TCGA-AN-A0FJ-10A	676f2aca-ea3f-4fe8-8f76-54aec3daa43e	TCGA-AN-A0FJ-10A-01	68df6b86-d167-4ca5-92f9-fbafd002a09d	TCGA-AN-A0FJ-10A-01D	2.0	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	546248b0-22a0-4b70-a437-76fb0a238a0d	TCGA-AN-A0FJ	d09d5a48-2dc0-4d0f-8b20-d1f11a08143b	TCGA-AN-A0FJ-01A	d15a3e93-4058-4920-a1ab-5ceb21e5c02d	TCGA-AN-A0FJ-01A-11	242a22af-a790-4d9b-8a54-c1f261a1972a	TCGA-AN-A0FJ-01A-11X	'--	'--	'--	Repli-G X (Qiagen) DNA	X	'--	'--	'--	Yes	'--	'--	'--	released	'--
TCGA-BRCA	546248b0-22a0-4b70-a437-76fb0a238a0d	TCGA-AN-A0FJ	d09d5a48-2dc0-4d0f-8b20-d1f11a08143b	TCGA-AN-A0FJ-01A	d15a3e93-4058-4920-a1ab-5ceb21e5c02d	TCGA-AN-A0FJ-01A-11	5178069a-3587-4e02-907b-9c83245e4241	TCGA-AN-A0FJ-01A-11R	1.78	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.9	8.8	UV Spec	released	'--
TCGA-BRCA	546248b0-22a0-4b70-a437-76fb0a238a0d	TCGA-AN-A0FJ	d09d5a48-2dc0-4d0f-8b20-d1f11a08143b	TCGA-AN-A0FJ-01A	d15a3e93-4058-4920-a1ab-5ceb21e5c02d	TCGA-AN-A0FJ-01A-11	e72a0e7b-b33f-4aa0-ab04-a2bb43d274cd	TCGA-AN-A0FJ-01A-11D	1.92	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	546248b0-22a0-4b70-a437-76fb0a238a0d	TCGA-AN-A0FJ	d09d5a48-2dc0-4d0f-8b20-d1f11a08143b	TCGA-AN-A0FJ-01A	d15a3e93-4058-4920-a1ab-5ceb21e5c02d	TCGA-AN-A0FJ-01A-11	fbb3c4ec-6eec-421a-b92e-3028fb3ba704	TCGA-AN-A0FJ-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	'--	Yes	'--	'--	'--	released	'--
TCGA-BRCA	f43d622f-eed5-4933-adc6-ae9ad1e33028	TCGA-E2-A1IN	24153fe0-2c47-456a-b344-874a0e28de4d	TCGA-E2-A1IN-01A	4d187272-4759-4f09-8dfe-dc860309c109	TCGA-E2-A1IN-01A-11	d7ddb81e-74db-4ef3-9c11-0d0f416c041e	TCGA-E2-A1IN-01A-11D	1.75	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	f43d622f-eed5-4933-adc6-ae9ad1e33028	TCGA-E2-A1IN	24153fe0-2c47-456a-b344-874a0e28de4d	TCGA-E2-A1IN-01A	4d187272-4759-4f09-8dfe-dc860309c109	TCGA-E2-A1IN-01A-11	d98087d0-2657-4d00-96e4-6ef7fa19c7b7	TCGA-E2-A1IN-01A-11R	1.79	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.5	7.9	UV Spec	released	'--
TCGA-BRCA	f43d622f-eed5-4933-adc6-ae9ad1e33028	TCGA-E2-A1IN	24153fe0-2c47-456a-b344-874a0e28de4d	TCGA-E2-A1IN-01A	4d187272-4759-4f09-8dfe-dc860309c109	TCGA-E2-A1IN-01A-11	f0f3ef9d-49db-40d2-856b-7cf9d6078f03	TCGA-E2-A1IN-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	f43d622f-eed5-4933-adc6-ae9ad1e33028	TCGA-E2-A1IN	66a68759-a142-4c13-a266-a22501ee249c	TCGA-E2-A1IN-10A	30b65b61-0b8e-44dd-982f-388e4fe8528e	TCGA-E2-A1IN-10A-01	602df29c-8262-4652-9915-22e0c822d00e	TCGA-E2-A1IN-10A-01D	1.98	'--	'--	DNA	D	'--	0.17	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	f43d622f-eed5-4933-adc6-ae9ad1e33028	TCGA-E2-A1IN	66a68759-a142-4c13-a266-a22501ee249c	TCGA-E2-A1IN-10A	30b65b61-0b8e-44dd-982f-388e4fe8528e	TCGA-E2-A1IN-10A-01	df7ca958-663f-4741-b150-2c6845570692	TCGA-E2-A1IN-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	2192c1db-4718-4254-ba42-3ae7f30ad5a8	TCGA-A2-A0EQ	25dcc66f-5e88-49de-84b7-2bb7ceac51c8	TCGA-A2-A0EQ-10A	0aa1f103-f080-445f-befc-f3f89f746c33	TCGA-A2-A0EQ-10A-01	54fc7f08-a2ae-4365-87da-17e0243f1061	TCGA-A2-A0EQ-10A-01D	1.88	'--	'--	DNA	D	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	2192c1db-4718-4254-ba42-3ae7f30ad5a8	TCGA-A2-A0EQ	25dcc66f-5e88-49de-84b7-2bb7ceac51c8	TCGA-A2-A0EQ-10A	0aa1f103-f080-445f-befc-f3f89f746c33	TCGA-A2-A0EQ-10A-01	79bcef38-5caa-4ae8-a564-f4a6fe0a4503	TCGA-A2-A0EQ-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	2192c1db-4718-4254-ba42-3ae7f30ad5a8	TCGA-A2-A0EQ	25dcc66f-5e88-49de-84b7-2bb7ceac51c8	TCGA-A2-A0EQ-10A	0aa1f103-f080-445f-befc-f3f89f746c33	TCGA-A2-A0EQ-10A-01	81bbe33b-0da8-44f5-8b60-fdabc3eaff81	TCGA-A2-A0EQ-10A-01X	'--	'--	'--	Repli-G X (Qiagen) DNA	X	'--	'--	Repli-G X	Yes	'--	'--	'--	released	'--
TCGA-BRCA	2192c1db-4718-4254-ba42-3ae7f30ad5a8	TCGA-A2-A0EQ	63792ecf-4f55-4eb5-bfbc-78accb4f104a	TCGA-A2-A0EQ-01A	02c0b5f1-e227-4333-bd72-cf44f301adfc	TCGA-A2-A0EQ-01A-11	3ac27d8e-35a7-417a-b8b3-515b68c284d4	TCGA-A2-A0EQ-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	2192c1db-4718-4254-ba42-3ae7f30ad5a8	TCGA-A2-A0EQ	63792ecf-4f55-4eb5-bfbc-78accb4f104a	TCGA-A2-A0EQ-01A	02c0b5f1-e227-4333-bd72-cf44f301adfc	TCGA-A2-A0EQ-01A-11	5b36791c-32a3-423c-a4d3-6121d5ceb52d	TCGA-A2-A0EQ-01A-11D	1.88	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	2192c1db-4718-4254-ba42-3ae7f30ad5a8	TCGA-A2-A0EQ	63792ecf-4f55-4eb5-bfbc-78accb4f104a	TCGA-A2-A0EQ-01A	02c0b5f1-e227-4333-bd72-cf44f301adfc	TCGA-A2-A0EQ-01A-11	c4474a24-33ae-42fd-9f12-e8fc654ad25f	TCGA-A2-A0EQ-01A-11R	1.81	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	2.0	8.8	UV Spec	released	'--
TCGA-BRCA	2192c1db-4718-4254-ba42-3ae7f30ad5a8	TCGA-A2-A0EQ	63792ecf-4f55-4eb5-bfbc-78accb4f104a	TCGA-A2-A0EQ-01A	02c0b5f1-e227-4333-bd72-cf44f301adfc	TCGA-A2-A0EQ-01A-11	da378d65-9acd-42bc-a7e8-f01877023191	TCGA-A2-A0EQ-01A-11X	'--	'--	'--	Repli-G X (Qiagen) DNA	X	'--	'--	Repli-G X	Yes	'--	'--	'--	released	'--
TCGA-BRCA	8db69f1d-72e2-40ba-ad8a-cf228499840d	TCGA-C8-A8HP	259bd5ce-3ff0-4a9e-8a4a-0adff5b064dd	TCGA-C8-A8HP-10A	53bf8c4f-c78e-434e-992e-265430777fed	TCGA-C8-A8HP-10A-01	1fe67484-389a-4bac-bc77-f38430cb3500	TCGA-C8-A8HP-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	8db69f1d-72e2-40ba-ad8a-cf228499840d	TCGA-C8-A8HP	259bd5ce-3ff0-4a9e-8a4a-0adff5b064dd	TCGA-C8-A8HP-10A	53bf8c4f-c78e-434e-992e-265430777fed	TCGA-C8-A8HP-10A-01	29484d03-735d-4ca4-abd3-8f0d6043152e	TCGA-C8-A8HP-10A-01D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-BRCA	8db69f1d-72e2-40ba-ad8a-cf228499840d	TCGA-C8-A8HP	8a384d0c-be3c-4a35-8b57-2c48de743ebe	TCGA-C8-A8HP-01A	c94e5a29-6efe-41ce-a372-7778f4bf038a	TCGA-C8-A8HP-01A-11	006f4a58-726b-4eeb-985e-73fcca9e70a4	TCGA-C8-A8HP-01A-11D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-BRCA	8db69f1d-72e2-40ba-ad8a-cf228499840d	TCGA-C8-A8HP	8a384d0c-be3c-4a35-8b57-2c48de743ebe	TCGA-C8-A8HP-01A	c94e5a29-6efe-41ce-a372-7778f4bf038a	TCGA-C8-A8HP-01A-11	7bed8eb0-60c9-4e7d-8dd7-4453559fba38	TCGA-C8-A8HP-01A-11R	1.94	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.53	7.4	UV Spec	released	'--
TCGA-BRCA	8db69f1d-72e2-40ba-ad8a-cf228499840d	TCGA-C8-A8HP	8a384d0c-be3c-4a35-8b57-2c48de743ebe	TCGA-C8-A8HP-01A	c94e5a29-6efe-41ce-a372-7778f4bf038a	TCGA-C8-A8HP-01A-11	c16d9ca4-23d5-4755-96e6-bfc4422d10fc	TCGA-C8-A8HP-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	eda6d2d5-4199-4f76-a45b-1d0401b4e54c	TCGA-AR-A1AR	5fa9998b-deff-493e-8a8e-dc2422192a48	TCGA-AR-A1AR-01A	40407260-e805-4c2e-b2a7-13862bc5e494	TCGA-AR-A1AR-01A-31	344dffb3-2d2b-479d-8be5-9ead2728541b	TCGA-AR-A1AR-01A-31W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	eda6d2d5-4199-4f76-a45b-1d0401b4e54c	TCGA-AR-A1AR	5fa9998b-deff-493e-8a8e-dc2422192a48	TCGA-AR-A1AR-01A	40407260-e805-4c2e-b2a7-13862bc5e494	TCGA-AR-A1AR-01A-31	3febc6c8-85ae-4d38-ba55-c959959846db	TCGA-AR-A1AR-01A-31D	1.98	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	eda6d2d5-4199-4f76-a45b-1d0401b4e54c	TCGA-AR-A1AR	5fa9998b-deff-493e-8a8e-dc2422192a48	TCGA-AR-A1AR-01A	40407260-e805-4c2e-b2a7-13862bc5e494	TCGA-AR-A1AR-01A-31	5f5b9bb2-3278-424f-9cf2-e26f0c3b0fd5	TCGA-AR-A1AR-01A-31R	1.82	'--	'--	RNA	R	'--	0.16	mirVana (Allprep DNA) RNA	Yes	1.6	9.1	UV Spec	released	'--
TCGA-BRCA	eda6d2d5-4199-4f76-a45b-1d0401b4e54c	TCGA-AR-A1AR	c1e5beaa-6103-409d-bdd4-a86c0f210014	TCGA-AR-A1AR-10A	5b2a99b7-e1a8-4739-acaf-d5f75cc47021	TCGA-AR-A1AR-10A-01	07c974b3-3286-4c4f-8b67-6f8e425936f4	TCGA-AR-A1AR-10A-01D	1.94	'--	'--	DNA	D	'--	0.18	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	eda6d2d5-4199-4f76-a45b-1d0401b4e54c	TCGA-AR-A1AR	c1e5beaa-6103-409d-bdd4-a86c0f210014	TCGA-AR-A1AR-10A	5b2a99b7-e1a8-4739-acaf-d5f75cc47021	TCGA-AR-A1AR-10A-01	a58e8309-8346-4648-945d-e48efdc1a635	TCGA-AR-A1AR-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	599c3701-df7a-4a75-a347-fa9b510dd242	TCGA-AR-A24K	9290d7f7-c958-4668-916f-152d8f820245	TCGA-AR-A24K-10A	8fde2392-ca1a-4807-8b08-eaf585de2202	TCGA-AR-A24K-10A-01	2eaf8ce2-95c6-4004-9c1b-ca7fa0b40447	TCGA-AR-A24K-10A-01D	1.71	'--	'--	DNA	D	'--	0.17	Pre-extracted DNA received by TSS	Yes	'--	'--	UV Spec	released	'--
TCGA-BRCA	599c3701-df7a-4a75-a347-fa9b510dd242	TCGA-AR-A24K	9290d7f7-c958-4668-916f-152d8f820245	TCGA-AR-A24K-10A	8fde2392-ca1a-4807-8b08-eaf585de2202	TCGA-AR-A24K-10A-01	5234985b-3590-4d10-bb7f-1936171c435e	TCGA-AR-A24K-10A-01W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	599c3701-df7a-4a75-a347-fa9b510dd242	TCGA-AR-A24K	c9ec05fa-5548-4fe3-8c09-a32c9e599d90	TCGA-AR-A24K-01A	425082e9-97bb-4d6f-a75b-c199130bf270	TCGA-AR-A24K-01A-11	22826697-d428-4073-a5d8-a5a84f1a8abe	TCGA-AR-A24K-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-BRCA	599c3701-df7a-4a75-a347-fa9b510dd242	TCGA-AR-A24K	c9ec05fa-5548-4fe3-8c09-a32c9e599d90	TCGA-AR-A24K-01A	425082e9-97bb-4d6f-a75b-c199130bf270	TCGA-AR-A24K-01A-11	7cfd1402-60a2-4df4-845e-4e130047e3d8	TCGA-AR-A24K-01A-11D	2.12	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	UV Spec	released	'--
